Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
DISSOLVI MAGIE,3,Abiurazione,"bardo, chierico, druido, mago, paladino, ranger, stregone, warlock",azione,36 metri,"V, S",istantanea,"L'incantatore sceglie una creatura, un oggetto o un effetto magico situato entro gittata. Ogni incantesimo di 3° livello o inferiore presente sul bersaglio termina. Per ogni incantesimo di 4° livello o superiore presente sul bersaglio, l'incantatore effettua una prova di carat­ teristica usando la propria caratteristica da incantatore (CD 10 più il livello di quell'incantesimo). Se la prova viene superata, l'incantesimo termina. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore termina automaticamente un incantesimo sul bersaglio se il livello di quell'incantesimo è pari o inferiore al livello dello slot incantesimo usato dall'incantatore. DITO DELLA MORTE"
DITO DELLA MORTE,7,Necromanzia,"mago, stregone, warlock",azione,18 metri,"V, S",istantanea,"L'incantatore scatena un'ondata di energia negativa contro una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Costituzione, subendo 7d8 + 30 danni necrotici in caso di fallimento, o la metà dei danni in caso di successo. All'inizio del turno successivo dell'incantatore, un umanoide ucciso da questo incantesimo si rianima come uno zombi (vedi appendice B) che segue gli ordini verbali dell'incantatore. DIVINAZIONE"
DIVINAZIONE,4,Divinazione,"chierico, druido, mago",azione o rituale,incantatore,"V, S, M (incenso del valore di 25 mo o più, che l'incantesimo consuma)",istantanea,"Questo incantesimo mette in contatto l'incantatore con una divinità o con un servitore della divinità. L'incanta­ tore pone una sola domanda relativa a uno specifico obiet­ tivo, evento o attività che si verificherà entro 7 giorni. Il DM fornisce una risposta onesta, che può essere una breve frase o una rima enigmatica. L'incantesimo non tiene conto delle circostanze che potrebbero modificare la risposta, come il lancio di altri incantesimi. Se l'incantatore lancia l'incantesimo più volte prima di completare un riposo lungo, esiste una probabilità cumulativa del 25% di non ottenere risposta per ogni lancio dopo il primo. DOMINARE BESTIE"
DOMINARE BESTIE,4,Ammaliamento,"druido, ranger, stregone",azione,18 metri,"V, S","concentrazione, fino a 1 minuto","Una bestia entro gittata e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinata per la durata dell'incante­ simo. Il bersaglio dispone di vantaggio al tiro salvezza se l'incantatore o i suoi alleati stanno combattendo contro di essa. Ogni volta che il bersaglio subisce danni, ripete il tiro salvezza; se lo supera, l'effetto svanisce. L'incantatore ha un legame telepatico con il bersaglio affascinato mentre i due si trovano sullo stesso piano di esistenza. Nel proprio turno, l'incantatore può utilizzare questo legame per impartire comandi al bersaglio (nessuna azione richiesta), come ad esempio ""attacca quella creatura"", ""spostati lì"", o ""recupera quell'oggetto"". Il bersaglio fa del suo meglio per obbedire nel suo turno. Se porta a termine un ordine e non riceve ulteriori istru­ zioni dall'incantatore, agisce e si muove a suo piacimento, concentrandosi sulla propria incolumità. L'incantatore può comandare al bersaglio di effettuare una reazione, ma per farlo dovrà utilizzare la propria reazione. Utilizzo di uno slot incantesimo di livello superiore. La concentrazione dell'incantatore può durare più a lungo utilizzando uno slot incantesimo di 5° livello (fino a 10 minuti), di 6° livello (fino a 1 ora) o di 7° livello o superiore (fino a 8 ore). DOMINARE MOSTRI"
DOMINARE MOSTRI,8,Ammaliamento,"bardo, mago, stregone, warlock",azione,18 metri,"V, S","concentrazione, fino a 1 ora","Una creatura entro gittata e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinato per la durata dell'incan­ tesimo. Il bersaglio dispone di vantaggio al tiro salvezza se l'incantatore o i suoi alleati stanno combattendo contro di essa. Ogni volta che il bersaglio subisce danni, ripete il tiro salvezza; se lo supera, l'effetto svanisce. L'incantatore ha un legame telepatico con il bersaglio affascinato mentre i due si trovano sullo stesso piano di esistenza. Nel proprio turno, l'incantatore può utilizzare questo legame per impartire comandi al bersaglio (nessuna azione richiesta), come ad esempio ""attacca quella creatura"", ""spostati lì"", o ""recupera quell'oggetto"". Il bersaglio fa del suo meglio per obbedire nel suo turno. Se porta a termine un ordine e non riceve ulteriori istru­ zioni dall'incantatore, agisce e si muove a suo piacimento, concentrandosi sulla propria incolumità. L'incantatore può comandare al bersaglio di effettuare una reazione, ma per farlo dovrà utilizzare la propria reazione. Utilizzo di uno slot incantesimo di livello superiore. La concentrazione dell'incantatore può durare più a lungo usando uno slot incantesimo di 9° livello (fino a 8 ore). DOMINARE PERSONE"
DOMINARE PERSONE,5,Ammaliamento,"bardo, mago, stregone",azione,18 metri,"V, S","concentrazione, fino a 1 minuto","F67 Un umanoide entro gittata e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinato per la durata dell'incante­ simo. Il bersaglio dispone di vantaggio al tiro salvezza se l'incantatore o i suoi alleati stanno combattendo contro di essa. Ogni volta che il bersaglio subisce danni, ripete il tiro salvezza; se lo supera, l'effetto svanisce. L'incantatore ha un legame telepatico con il bersaglio affascinato mentre i due si trovano sullo stesso piano di esistenza. Nel proprio turno, l'incantatore può utilizzare questo legame per impartire comandi al bersaglio (nes­ suna azione richiesta), come ad esempio ""attacca quella creatura"", ""spostati lì"", o ""recupera quell'oggetto"". Il bersa­ glio fa del suo meglio per obbedire nel suo turno. Se porta a termine un ordine e non riceve ulteriori istruzioni dall'incantatore, agisce e si muove a suo piacimento, concentrandosi sulla propria incolumità. L'incantatore può comandare al bersaglio di effettuare una reazione, ma per farlo dovrà utilizzare la propria reazione. Utilizzo di uno slot incantesimo di livello superiore. La concentrazione dell'incantatore può durare più a lungo utilizzando uno slot incantesimo di 6° livello (fino a 10 minuti), di 7° livello (fino a 1 ora) o di 8° livello o superiore (fino a 8 ore). F68 DUELLO OBBLIGATO"
F68 DUELLO OBBLIGATO,1,Ammaliamento,paladino,azione bonus,9 metri,V,"concentrazione, fino a 1 minuto","L'incantatore tenta di obbligare una creatura a partecipare a un duello. Una creatura entro gittata che l'incantatore è in grado di vedere effettua un tiro salvezza su Saggezza. In caso di fallimento, il bersaglio subisce svantaggio ai tiri per colpire contro le creature diverse dall'incantatore e non può volontariamente muoversi in uno spazio a più di 9 metri dall'incantatore. L'incantesimo termina se l'incantatore effettua un tiro per colpire contro una creatura diversa dal bersaglio, se lancia un incantesimo su un nemico diverso dal bersaglio, se un suo alleato infligge danni al bersaglio, o se l'incanta­ tore termina il proprio turno a più di 9 metri dal bersaglio. ELEMENTALISMO"
ELEMENTALISMO,0,Trasmutazione,"druido, mago, stregone",azione,9 metri,"V, S",istantanea,"L'incantatore esercita il suo controllo sugli elementi, creando uno dei seguenti effetti entro gittata. Richiamo del fuoco. Nell'area di un cubo con spigolo di 1,5 metri, l'incantatore crea una piccola nube di braci non incandescenti, colorate e che emettono fumo e un odore particolare. L'incantatore sceglie il colore e l'odore delle braci, che si possono usare per accendere candele, torce o lampade in quell'area. L'odore del fumo permane per 1 minuto. Richiamo dell'acqua. L'incantatore crea uno spruzzo d'acqua fresca nebulizzata che inumidisce leggermente le creature e gli oggetti all'interno di un cubo con spigolo di 1,5 metri. In alternativa, crea 1 coppa di acqua pulita da riversare all'interno di un contenitore aperto o su una superficie; l'acqua evapora dopo 1 minuto. Richiamo dell'aria. Nell'area di un cubo con spigolo di 1,5 metri, l'incantatore crea una brezza in grado di far svolazzare i tessuti, sollevare la polvere, far oscillare le foglie e chiudere porte e persiane aperte. Se le porte e le persiane sono tenute aperte da qualcuno, l'incantesimo non ha effetto su di esse. Richiamo della terra. L'incantatore crea un sottile velo di polvere o sabbia che ricopre le superfici di un'area di 1,5 metri per lato, oppure fa comparire una singola parola scritta nella sua calligrafia su un lembo di terra o un letto di sabbia. Scolpire elementi. L'incantatore fa in modo che un elemento a sua scelta tra terra, sabbia, fuoco, fumo, nebbia o acqua (in una quantità tale da poter essere contenuto in un cubo con spigolo di 30 centimetri) assuma una forma rozza (come quella di una creatura) per 1 ora. EROISMO"
EROISMO,1,Ammaliamento,"bardo, paladino",azione,contatto,"V, S","concentrazione, fino a 1 minuto","Una creatura consenziente toccata dall'incantatore è animata da grande coraggio. Fino al termine dell'incan­ tesimo, la creatura è immune alla condizione spaventato e all'inizio di ogni suo turno ottiene una quantità di punti ferita temporanei pari al modificatore di caratteristica da incantatore dell'incantatore. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 1°. ESILIO"
ESILIO,4,Abiurazione,"chierico, mago, paladino, stregone, warlock",azione,9 metri,"V, S, M (un pentacolo)","concentrazione, fino a 1 minuto","Una creatura entro gittata che l'incantatore è in grado di vedere deve superare un tiro salvezza su Carisma o essere trasportata in un semipiano sicuro per la durata dell'in­ cantesimo. Mentre si trova lì, il bersaglio è incapacitato. Al termine dell'incantesimo, il bersaglio riappare nello spazio in cui si trovava prima del lancio o, se è occupato, nello spazio libero più vicino. Se l'incantesimo sul bersaglio dura 1 minuto, il bersaglio non fa ritorno se è un'aberrazione, un celestiale, un elemen­ tale, un folletto o un immondo. In questo caso, viene tra­ sportato in un luogo casuale di un piano (a scelta del DM) associato al tipo di creatura di cui fa parte. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 4°. ESPLOSIONE SOLARE"
ESPLOSIONE SOLARE,8,Invocazione,"chierico, druido, mago, stregone",azione,45 metri,"V, S, M (un frammento di pietra di sole)",istantanea,"Una radiosa luce solare splende in una sfera del raggio di 18 metri, centrata su un punto entro gittata a scelta dell'incantatore. Ogni creatura al suo interno deve effettuare un tiro salvezza su Costituzione. Se lo fallisce, subisce 12d6 danni radiosi e rimane accecata per 1 minuto, mentre se lo supera subisce solo la metà dei danni. Una creatura accecata da questo incantesimo effettua un altro tiro salvezza su Costituzione al termine di ogni suo turno, facendone svanire l'effetto in caso di successo. Questo incantesimo dissolve qualsiasi oscurità nell'area creata da un incantesimo. ESTASIARE"
ESTASIARE,2,Ammaliamento,"bardo, warlock",azione,18 metri,"V, S","concentrazione, fino a 1 minuto","L'incantatore pronuncia una sequenza di parole disorien­ tante, costringendo le creature da lui scelte entro gittata e che è in grado di vedere a effettuare un tiro salvezza su Saggezza. Se l'incantatore o i suoi compagni stanno combattendo contro una creatura, quella supera automati­ camente questo tiro salvezza. In caso di fallimento, il ber­ saglio subisce una penalità di -10 alle prove di Saggezza (Percezione) e alla Percezione passiva fino al termine dell'incantesimo. 2 69 EVOCA ANIMALI"
EVOCA ANIMALI,3,Evocazione,"druido, ranger",azione,18 metri,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore evoca degli spiriti della natura che appaiono come un Grande branco di animali spettrali e intangibili in uno spazio libero entro gittata che l'incantatore è in grado di vedere. Il branco permane per la durata dell'in­ cantesimo e l'incantatore può scegliere la forma animale assunta dagli spiriti, per esempio lupi, serpenti o uccelli. Mentre si trova entro 1,5 metri dal branco, l'incantatore dispone di vantaggio ai tiri salvezza su Forza e, quando si muove nel suo turno, può spostare anche il branco fino a 9 metri in uno spazio libero che è in grado di vedere. Ogni volta che il branco si muove entro 3 metri da una creatura che l'incantatore è in grado di vedere e ogni volta che una creatura che l'incantatore è in grado di vedere entra in uno spazio entro 3 metri dal branco o vi termina il suo turno, l'incantatore può costringerla a effettuare un tiro salvezza su Destrezza. In caso di fallimento, subisce 3dl0 danni taglienti. Una creatura effettua questo tiro salvezza solo una volta per turno. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ldlO per ogni slot di livello superiore al 3°. EVOCA CELESTIALE"
EVOCA CELESTIALE,7,Evocazione,chierico,azione,27 metri,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore evoca uno spirito dai Piani Superiori, che si manifesta come un pilastro di luce in un cilindro del raggio di 3 metri e dell'altezza di 12 metri centrato in un punto entro gittata. Per ogni creatura che l'incantatore è in grado di vedere nel cilindro, sceglie quale di queste luci brilla su di essa: Luce curatrice. Il bersaglio recupera una quantità di punti ferita pari a 4d12 più il modificatore di caratteri­ stica da incantatore dell'incantatore. Luce ustionante. Il bersaglio effettua un tiro salvezza su Destrezza, subendo 6d12 danni radiosi in caso di fallimento, o la metà dei danni in caso di successo. Fino al termine dell'incantesimo, una luce intensa riempie il cilindro e, quando l'incantatore si muove nel suo turno, può spostare anche il cilindro fino a 9 metri. Ogni volta che il cilindro si muove nello spazio di una cre­ atura che l'incantatore è in grado di vedere e ogni volta che una creatura che l'incantatore è in grado di vedere entra nel cilindro o vi termina il suo turno, l'incantatore può immergerla in una di queste luci. Una creatura può essere influenzata da questo incantesimo solo una volta per turno. Utilizzo di uno slot incantesimo di livello superiore. I danni e la guarigione aumentano di ld12 per ogni slot di livello superiore al 7°. EVOCA CREATURE BOSCHIVE"
EVOCA CREATURE BOSCHIVE,4,Evocazione,"druido, ranger",azione,incantatore,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore evoca degli spiriti della natura che gli flut­ tuano attorno in un'emanazione di 3 metri per la durata dell'incantesimo. Ogni volta che l'emanazione entra nello spazio di una creatura che l'incantatore è in grado di vedere e ogni volta che una creatura che l'incantatore è in grado di vedere entra nell'emanazione o vi termina il suo turno, l'incantatore può costringerla a effettuare un tiro salvezza su Saggezza. In caso di fallimento, subisce Sd8 danni da forza, o la metà dei danni in caso di successo. Una creatura effettua questo tiro salvezza solo una volta per turno. Inoltre, per la durata dell'incantesimo, l'incantatore può effettuare l'azione di Disimpegno come azione bonus. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld8 per ogni slot di livello superiore al 4°. EVOCA ELEMENTALE"
EVOCA ELEMENTALE,5,Evocazione,"druido, mago",azione,18 metri,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore può evocare uno spirito intangibile di taglia Grande dai Piani Elementali che appare in uno spazio libero entro gittata. L'incantatore sceglie l'elemento dello spirito, che ne determina il tipo di danno: aria (fulmine), terra (tuono), fuoco (fuoco) o acqua (freddo). Lo spirito permane per la durata dell'incantesimo. Ogni volta che una creatura che l'incantatore è in grado di vedere entra nello spazio dello spirito o inizia il suo turno entro un raggio di 1,5 metri da esso, l'incan­ tatore può costringerla a effettuare un tiro salvezza su Destrezza, a patto che lo spirito non stia trattenendo una creatura. In caso di fallimento, il bersaglio subisce 8d8 danni del tipo dello spirito, e il bersaglio è trattenuto fino al termine dell'incantesimo. All'inizio di ogni suo turno, il bersaglio trattenuto ripete il tiro. In caso di fallimento, il bersaglio subisce 4d8 danni del tipo determinato dallo spirito. In caso di successo, il bersaglio non è più tratte­ nuto dallo spirito. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di 2d8 per ogni slot di livello superiore al 5°. EVOCA ELEMENTALI MINORI"
EVOCA ELEMENTALI MINORI,4,Evocazione,"druido, mago",azione,incantatore,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore evoca degli spiriti dai Piani Elementali che gli fluttuano attorno in un'emanazione di 4,5 metri per la durata dell'incantesimo. Fino al termine dell'incantesimo, ogni attacco effettuato dall'incantatore infligge 2d8 danni extra quando colpisce una creatura nell'emanazione. I danni inflitti sono da acido, freddo, fuoco o fulmine (a scelta dell'incantatore quando effettua l'attacco). Inoltre, il terreno all'interno dell'emanazione diventa terreno difficile per i nemici. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di 2d8 per ogni slot di livello superiore al 4°. EVOCA FOLLETTO"
EVOCA FOLLETTO,6,Evocazione,druido,azione,18 metri,"V, S","concentrazione, fino a 1 0  minuti","L'incantatore evoca una spirito di taglia Media dalla Selva Fatata in uno spazio libero entro gittata che è in grado di vedere. Lo spirito permane per la durata dell'in­ cantesimo e ha le sembianze di una creatura fatata a scelta dell'incantatore. Quando lo spirito appare, l'incantatore può effettuare un attacco in mischia con incantesimo contro una creatura entro 1,5 metri dallo spirito. Se il colpo va a segno, il bersaglio subisce danni psichici pari a 3dl2 più il modificatore di caratteristica da incantatore dell'incantatore. Inoltre, il bersaglio è spaventato fino all'inizio del turno successivo, con l'incantatore e lo spirito come fonti della sua paura. Come azione bonus nei suoi turni successivi, l'incanta­ tore può teletrasportare lo spirito in uno spazio libero che è in grado di vedere, a una distanza massima di 9 metri dal punto in cui si trovava prima, ed effettuare l'attacco contro una creatura entro 1,5 metri dallo spirito. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di 2dl2 per ogni slot di livello superiore al 6°. EVOCA PIOGGIA DI ARMI"
EVOCA PIOGGIA DI ARMI,5,Evocazione,ranger,azione,45 metri,"V, S, M (un'arma da mischia o a distanza del valore di al meno 1 mr)",istantanea,"L'incantatore brandisce l'arma usata per lanciare l'incantesimo e sceglie un punto entro gittata. Centinaia di armi spettrali simili (o munizioni adatte all'arma) ricadono a raffica e poi scompaiono. Ogni creatura scelta dall'incantatore, e che l'incantatore è in grado di vedere in un cilindro del raggio di 12 metri e dell'altezza di 6 metri, centrato su un punto, effettua un tiro salvezza su Destrezza. La creatura subisce 8d8 danni da forza in caso di fallimento, o la metà dei danni in caso di successo. EVOCA RAFFICA"
EVOCA RAFFICA,3,Evocazione,ranger,azione,incantatore,"V, S, M (un'arma da mischia o a distanza del valore di almeno 1 m r)",istantanea,"L'incantatore brandisce l'arma utilizzata per lanciare l'incantesimo ed evoca armi spettrali simili (o munizioni adatte all'arma) che schizzano in avanti e poi spariscono. Ogni creatura scelta dall'incantatore, e che l'incantatore è in grado di vedere entro un cono di 18 metri, effettua un tiro salvezza su Destrezza, subendo 5d8 danni da forza in caso di fallimento, o la metà dei danni in caso di successo. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld8 per ogni slot di livello superiore al 3°. EVOCAZIONI ISTANTANEE DI DRAWMIJ"
EVOCAZIONI ISTANTANEE DI DRAWMIJ,6,Evocazione,mago,1 minuto o rituale,contatto,"V, S, M (uno zaffiro del valore di 1 .000 mo o più)",finché non viene dissolto,"L'incantatore tocca lo zaffiro utilizzato per lanciare l'incantesimo e un oggetto del peso pari o inferiore a 5 kg e la cui dimensione più lunga sia pari o inferiore a 1,8 metri. L'incantesimo imprime un marchio invisibile su quell'og­ getto e traccia in modo invisibile il nome dell'oggetto sullo zaffiro. Ogni volta che l'incantatore lancia questo incantesimo, deve utilizzare uno zaffiro diverso. Successivamente, l'incantatore può effettuare un'azione di Magia per pronunciare il nome dell'oggetto e distrug­ gere lo zaffiro. L'oggetto appare immediatamente nella mano dell'incantatore, a prescindere dalle distanze fisiche o planari e l'incantesimo termina. Se un'altra creatura impugna o trasporta l'oggetto, la distruzione dello zaffiro non comporta l'apparizione dell'oggetto, ma l'incantatore apprende invece chi è la creatura in suo possesso e l'ubicazione attuale. FABBRICARE"
FABBRICARE,4,Trasmutazione,mago,1 0  minuti,36 metri,"V, S",istantanea,"L'incantatore converte materie prime in prodotti dello stesso materiale. Per esempio, può fabbricare un ponte di legno da una catasta di tronchi, una corda da un groviglio di canapa o abiti da lino o lana. L'incantatore sceglie materie prime entro gittata che è in grado di vedere e, qualora ne possegga una quantità sufficiente, può fabbricare un oggetto di taglia Grande o inferiore (contenuto in un cubo con spigolo di 3 metri o in otto cubi con spigolo di 1,5 metri collegati tra loro). Tuttavia, se l'incantatore lavora con metallo, pietra o un'altra sostanza minerale, l'oggetto fabbricato potrà essere al massimo di taglia Media (contenuto in un cubo con spigolo di 1,5 metri). La qualità degli oggetti realizzati è basata sulla qualità delle materie prime. Questo incantesimo non può creare creature o oggetti magici. Inoltre, l'incantatore non può utilizzarlo per creare oggetti che richiedono un alto grado di precisione, come armi o armature, a meno che non possegga com­ petenza con il tipo di strumenti da artigiano usati per realizzare tali oggetti. FAME DI HADAR"
FAME DI HADAR,3,Evocazione,warlock,azione,45 metri,"V, S, M (un tentacolo in salamoia)","concentrazione, fino a 1 minuto","L'incantatore apre un portale per il Reame Remoto, una regione infestata da orrori indicibili. Appare una sfera di oscurità del raggio di 6 metri, centrata su un punto entro gittata, che permane per la durata dell'incantesimo. Lo spazio all'interno della sfera è considerato terreno difficile e in quel vuoto echeggiano sussurri grotteschi e fauci biascicanti, udibili fino a 9 metri di distanza. Nessuna luce, magica o di altro tipo, può illuminare l'area e le creature che si trovano completamente al suo interno sono accecate. Ogni creatura che inizia i l  suo turno nell'area subisce 2d6 danni da freddo. Ogni creatura che termina il suo turno qui deve superare un tiro salvezza su Destrezza, altrimenti subisce 2d6 danni da acido inferti da brulicanti tentacoli ultraterreni. Utilizzo di uno slot incantesimo di livello superiore. I danni da acido o da freddo (a scelta dell'incantatore) aumentano di ld6 per ogni slot di livello superiore al 3°. FARETRA RAPIDA"
FARETRA RAPIDA,5,Trasmutazione,ranger,azione bonus,incantatore,"V, S, M (una faretra dal valore di 1 mo o più)","concentrazione, fino a 1 minuto","Quando lancia l'incantesimo e come azione bonus fino al suo termine, l'incantatore può effettuare due attacchi con un'arma che spara frecce o quadrelli, come un arco lungo o una balestra leggera. L'incantesimo crea magica­ mente le munizioni necessarie per ogni attacco. Frecce e quadrelli creati dall'incantesimo infliggono danni come se fossero munizioni non magiche di quel tipo e si disinte­ grano subito dopo aver centrato o mancato il bersaglio. FARO DI SPERANZA"
FARO DI SPERANZA,3,Abiurazione,chierico,azione,9 metri,"V, S","concentrazione, fino a 1 minuto","L'incantatore sceglie un qualsiasi numero di creature entro gittata. Per la durata dell'incantesimo, ogni bersa­ glio dispone di vantaggio ai tiri salvezza su Saggezza, ai tiri salvezza contro morte e recupera il numero massimo di punti ferita possibile da qualsiasi guarigione. FATALE"
FATALE,9,Illusione,"mago, warlock",azione,36 metri,"V, S","concentrazione, fino a 1 minuto","L'incantatore tenta di creare orrori illusori nella mente degli avversari. Ogni creatura a sua scelta all'interno di una sfera con raggio di 9 metri, centrata su un punto entro gittata, effettua un tiro salvezza su Saggezza. In caso di fallimento, il bersaglio subisce lOdlO danni psichici ed è spaventato per la durata dell'incantesimo. Se invece lo supera, subisce soltanto la metà di quei danni. Un bersaglio spaventato effettua un tiro salvezza su Saggezza alla fine di ogni suo turno. In caso di fallimento, subisce SdlO danni psichici, mentre in caso di successo l'incantesimo termina. FAVORE DI VINO"
FAVORE DI VINO,1,Trasmutazione,paladino,azione bonus,incantatore,"V, S",1 minuto,"Fino al termine dell'incantesimo, i suoi attacchi con le armi infliggono ld4 danni radiosi extra se il colpo va a segno. FERIRE"
FERIRE,6,Necromanzia,chierico,azione,18 metri,"V, S",istantanea,"L'incantatore scatena una malattia virulenta su una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Costituzione. Se lo fallisce, subisce 14d6 danni necrotici, e i suoi punti ferita massimi vengono ridotti di una quantità pari ai danni necrotici subiti, mentre se lo supera, subisce solo la metà dei danni. Questo incantesimo non può ridurre i punti ferita massimi del bersaglio a meno di 1. FERMARE IL TEMP O"
FERMARE IL TEMP O,9,Trasmutazione,"mago, stregone",azione,incantatore,V,istantanea,"L'incantatore interrompe brevemente lo scorrere nel tempo per tutti tranne che per se stesso. Per le altre crea­ ture il tempo non passa, mentre l'incantatore effettua ld4 + 1 turni consecutivamente, nel corso dei quali può usare azioni e muoversi normalmente. Questo incantesimo termina se una delle azioni usate o qualsiasi effetto creato dall'incantatore nel corso della sua durata influenza una creatura diversa da lui o un oggetto indossato o trasportato da qualcuno diverso da lui. Termina inoltre se l'incantatore si muove in un luogo a più di 300 metri dal punto in cui ha lanciato l'incantesimo. FIAMMA PERENNE"
FIAMMA PERENNE,2,Invocazione,"chierico, druido, mago",azione,contatto,"V, S, M (polvere di rubino del valore di 50 mo o più, che l'incantesimo consuma)",finché non viene dissolto,"Una fiamma si sprigiona da un oggetto toccato dall'in­ cantatore. L'effetto proietta luce intensa in un raggio di 6 metri e luce fioca per ulteriori 6 metri. L'effetto è quello di una fiamma comune, ma non genera calore e non utilizza combustibile. L a  fiamma può essere coperta o nascosta, ma non soffocata o estinta. FIAMMA SACRA"
FIAMMA SACRA,0,Invocazione,chierico,azione,18 metri,"V, S",istantanea,"Un bagliore simile a una fiamma discende su una creatura entro gittata che l'incantatore è in grado di vedere. Il ber­ saglio deve superare un tiro salvezza su Destrezza, altri­ menti subisce ld8 danni radiosi. Per questo tiro salvezza, il bersaglio non trae beneficio dalla mezza copertura o dai tre quarti di copertura. Trucchetto potenziato. I danni aumentano di ld8 quando l'incantatore raggiunge il 5° livello (2d8), 1'11° livello (3d8) e il 17° livello (4d8). FIOT TO Acrno"
FIOT TO Acrno,0,Invocazione,"mago, stregone",azione,18 metri,"V, S",istantanea,"L'incantatore crea una bolla di acido in un punto entro gittata, dove la bolla esplode in una sfera del raggio di 1,5 metri. Ogni creatura all'interno della sfera deve supe­ rare un tiro salvezza su Destrezza, altrimenti subisce ld6 danni da acido. Trucchetto potenziato. I danni aumentano di ld6 quando l'incantatore raggiunge il 5° livello (2d6), 1'11° livello (3d6) e il 17° livello (4d6). FOLATA DI VENTO"
FOLATA DI VENTO,2,Invocazione,"druido, ranger, mago, stregone",azione,incantatore,"V, S, M (un seme di legume)","concentrazione, fino a 1 minuto","Una linea di vento forte lunga 18 metri e ampia 3 metri viene indirizzata dall'incantatore in una direzione a sua scelta per la durata dell'incantesimo. Ogni creatura sulla linea deve superare un tiro salvezza su Forza, altrimenti viene spinta per 4,5 metri lontano dall'incantatore nella direzione della linea. Una creatura che termina il suo turno sulla linea deve effettuare lo stesso tiro salvezza. Qualsiasi creatura sulla linea deve usare 60 centimetri di movimento per ogni 30 centimetri percorsi per avvici­ narsi all'incantatore. La folata può disperdere gas o vapore e spegne candele e simili fiamme non protette nell'area. Le fiamme protette, come quelle delle lanterne, tremolano e hanno il 50% di possibilità di spegnersi. Come azione bonus nei suoi turni successivi, l'incanta­ tore può modificare la direzione in cui indirizzare la linea. FONDERSI NELLA PIETRA"
FONDERSI NELLA PIETRA,3,Trasmutazione,"chierico, druido, ranger",azione o rituale,contatto,"V, S",8 ore,"L:incantatore entra in un oggetto o in una superficie di pietra sufficientemente grande da contenere il suo corpo, fondendosi con esso insieme al suo l'equipaggiamento per la durata dell'incantesimo. Per farlo, l'incantatore deve toccare la pietra, e nulla della sua presenza rimane visibile o individuabile da qualsiasi senso non magico. Mentre è fuso nella pietra, l'incantatore non può vedere ciò che accade al di fuori e subisce svantaggio in qualsiasi prova di Saggezza (Percezione) effettuata per udire i suoni all'esterno. Rimane tuttavia cosciente del passare del tempo e può lanciare incantesimi su di sé. L:incantatore può usare 1,5 metri del suo movimento per uscire dalla pietra nel punto in cui è entrato, ponendo fine all'incante­ simo; altrimenti, non può muoversi. Eventuali danni fisici minori inflitti alla pietra non danneggiano l'incantatore, ma una distruzione parziale o un'alterazione nella forma (al punto da non contenerne più il corpo) provoca l'espulsione dell'incantatore, inflig­ gendogli 6d6 danni da forza. La completa distruzione della pietra (o la sua trasmutazione in una sostanza differente) provoca l'espulsione dell'incantatore e gli infligge 50 danni da forza. Se l'incantatore viene espulso, cade a terra prono nello spazio libero più vicino al punto in cui era entrato. FONTE DI LUCE LUNARE"
FONTE DI LUCE LUNARE,4,Invocazione,"bardo, druido",azione,incantatore,"V, S","concentrazione, fino a 10 minuti","Per la durata dell'incantesimo, il corpo dell'incantatore è avvolto da una luce fredda che proietta luce intensa in un raggio di 6 metri e luce fioca per ulteriori 6 metri. Fino al termine dell'incantesimo, l'incantatore è resi­ stente ai danni radiosi e i suoi attacchi in mischia inflig­ gono 2d6 danni radiosi extra se il colpo va a segno. Inoltre, subito dopo aver subito danni da una creatura entro 18 metri da sé e che è in grado di vedere, l'incan­ tatore può effettuare una reazione per costringere la creatura a effettuare un tiro salvezza su Costituzione. Se fallisce, la creatura è accecata fino al termine del turno successivo dell'incantatore. FORMA ETEREA"
