Livello,Nome Incantesimo,Classi,Descrizione Base
Level 3,DESTRIERO FANTOMATICO,Mago,"Tempo di lancio: 1 minuto o rituale Gittata: 9 metri Componenti: V, S Durata: 1 ora Una creatura di taglia Grande, simile a un cavallo quasi reale, compare sul terreno in uno spazio libero entro gittata a scelta dell'incantatore. L'incantatore sceglie l'aspetto della creatura, che è dotata di sella,..."
Level 1,DISCO FLUTTUANTE DI TENSER,Mago,"Tempo di lancio: azione o rituale Gittata: 9 metri Componenti: V, S, M (una goccia di mercurio) Durata: 1 ora Questo incantesimo crea un piano circolare e orizzontale di forza del diametro di 90 centimetri e spessore di 2,5 centimetri, che fluttua 90 centimetri sopra il terreno in uno spazio libero ..."
Level 6,DISINTEGRAZIONE,"Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (una calamita e della polvere) Durata: istantanea L'incantatore lancia un raggio verde verso un bersaglio entro gittata che è in grado di vedere. Il bersaglio può essere una creatura, un oggetto non magico o una creazione di forza magica,..."
Level 8,DISORIENTARE,"Bardo, Druido, Mago, Warlock","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (un portachiavi senza chiavi) Durata: istantanea L'incantatore assale la mente di una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Intelligenza. Se lo fallisce, il bersaglio subisce 10d12 dann..."
Level 5,DISSOLVI IL BENE E IL MALE,"Chierico, Paladino","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (polvere d'argento e ferro) Durata: concentrazione, fino a 1 minuto Per la durata dell'incantesimo, celestiali, elementali, folletti, immondi e non morti subiscono svantaggio ai tiri per colpire effettuati contro l'incantatore. L'incan..."
Level 7,DITO DELLA MORTE,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea L'incantatore scatena un'ondata di energia negativa contro una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Costituzione, subendo 7d8 + 30 danni necrotici in caso di fallimento..."
Level 4,DIVINAZIONE,"Chierico, Druido, Mago","Tempo di lancio: azione o rituale Gittata: incantatore Componenti: V, S, M (incenso del valore di 25 mo o più, che l'incantesimo consuma) Durata: istantanea Questo incantesimo mette in contatto l'incantatore con una divinità o con un servitore della divinità. L'incanta­ tore pone una sola domanda re..."
Level 4,DOMINARE BESTIE,"Druido, Ranger, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto Una bestia entro gittata e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinata per la durata dell'incante­ simo. Il bersaglio dispone di va..."
Level 8,DOMINARE MOSTRI,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 ora Una creatura entro gittata e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinato per la durata dell'incan­ tesimo. Il bersaglio dispone di van..."
Level 9,LA CONCENTRAZIONE DELL'INCANTATORE PUÒ DURARE PIÙ A LUNGO,Fino A 8 Ore,DOMINARE PERSONE
Level 5,DOMINARE PERSONE,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto F67 Un umanoide entro gittata e che l'incantatore è in grado di vedere deve superare un tiro salvezza su Saggezza, altrimenti diventa affascinato per la durata dell'incante­ simo. Il bersaglio dispone ..."
Cantrip,ELEMENTALISMO,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: istantanea L'incantatore esercita il suo controllo sugli elementi, creando uno dei seguenti effetti entro gittata. Richiamo del fuoco. Nell'area di un cubo con spigolo di 1,5 metri, l'incantatore crea una piccola nube di braci non inc..."
Level 8,ESPLOSIONE SOLARE,"Chierico, Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (un frammento di pietra di sole) Durata: istantanea Una radiosa luce solare splende in una sfera del raggio di 18 metri, centrata su un punto entro gittata a scelta dell'incantatore. Ogni creatura al suo interno deve effettuare un tiro sa..."
Level 2,ESTASIARE,"Bardo, Warlock","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto L'incantatore pronuncia una sequenza di parole disorien­ tante, costringendo le creature da lui scelte entro gittata e che è in grado di vedere a effettuare un tiro salvezza su Saggezza. Se l'incantato..."
Level 3,EVOCA ANIMALI,"Druido, Ranger","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore evoca degli spiriti della natura che appaiono come un Grande branco di animali spettrali e intangibili in uno spazio libero entro gittata che l'incantatore è in grado di vedere. Il bra..."
Level 7,EVOCA CELESTIALE,Chierico,"Tempo di lancio: azione Gittata: 27 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore evoca uno spirito dai Piani Superiori, che si manifesta come un pilastro di luce in un cilindro del raggio di 3 metri e dell'altezza di 12 metri centrato in un punto entro gittata. Per..."
Level 4,EVOCA CREATURE BOSCHIVE,"Druido, Ranger","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore evoca degli spiriti della natura che gli flut­ tuano attorno in un'emanazione di 3 metri per la durata dell'incantesimo. Ogni volta che l'emanazione entra nello spazio di una creatu..."
Level 5,EVOCA ELEMENTALE,"Druido, Mago","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore può evocare uno spirito intangibile di taglia Grande dai Piani Elementali che appare in uno spazio libero entro gittata. L'incantatore sceglie l'elemento dello spirito, che ne determin..."
Level 4,EVOCA ELEMENTALI MINORI,"Druido, Mago","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore evoca degli spiriti dai Piani Elementali che gli fluttuano attorno in un'emanazione di 4,5 metri per la durata dell'incantesimo. Fino al termine dell'incantesimo, ogni attacco effet..."
Level 6,EVOCA FOLLETTO,Druido,"Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore evoca una spirito di taglia Media dalla Selva Fatata in uno spazio libero entro gittata che è in grado di vedere. Lo spirito permane per la durata dell'in­ cantesimo e ha le sembianze ..."
Level 5,EVOCA PIOGGIA DI ARMI,Ranger,"Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (un'arma da mischia o a distanza del valore di al meno 1 mr) Durata: istantanea L'incantatore brandisce l'arma usata per lanciare l'incantesimo e sceglie un punto entro gittata. Centinaia di armi spettrali simili (o munizioni adatte all'a..."
Level 3,EVOCA RAFFICA,Ranger,"Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un'arma da mischia o a distanza del valore di almeno 1 m r) Durata: istantanea L'incantatore brandisce l'arma utilizzata per lanciare l'incantesimo ed evoca armi spettrali simili (o munizioni adatte all'arma) che schizzano in avanti e..."
Level 6,EVOCAZIONI ISTANTANEE DI DRAWMIJ,Mago,"Tempo di lancio: 1 minuto o rituale Gittata: contatto Componenti: V, S, M (uno zaffiro del valore di 1 .000 mo o più) Durata: finché non viene dissolto L'incantatore tocca lo zaffiro utilizzato per lanciare l'incantesimo e un oggetto del peso pari o inferiore a 5 kg e la cui dimensione più lunga sia..."
Level 4,FABBRICARE,Mago,"Tempo di lancio: 1 0  minuti Gittata: 36 metri Componenti: V, S Durata: istantanea L'incantatore converte materie prime in prodotti dello stesso materiale. Per esempio, può fabbricare un ponte di legno da una catasta di tronchi, una corda da un groviglio di canapa o abiti da lino o lana. L'incantato..."
Level 3,FAME DI HADAR,Warlock,"Tempo di lancio: azione Gittata: 45 metri Componenti: V, S, M (un tentacolo in salamoia) Durata: concentrazione, fino a 1 minuto L'incantatore apre un portale per il Reame Remoto, una regione infestata da orrori indicibili. Appare una sfera di oscurità del raggio di 6 metri, centrata su un punto ent..."
Level 5,FARETRA RAPIDA,Ranger,"Tempo di lancio: azione bonus Gittata: incantatore Componenti: V, S, M (una faretra dal valore di 1 mo o più) Durata: concentrazione, fino a 1 minuto Quando lancia l'incantesimo e come azione bonus fino al suo termine, l'incantatore può effettuare due attacchi con un'arma che spara frecce o quadrell..."
Level 3,FARO DI SPERANZA,Chierico,"Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto L'incantatore sceglie un qualsiasi numero di creature entro gittata. Per la durata dell'incantesimo, ogni bersa­ glio dispone di vantaggio ai tiri salvezza su Saggezza, ai tiri salvezza contro morte e r..."
Level 9,FATALE,"Mago, Warlock","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto L'incantatore tenta di creare orrori illusori nella mente degli avversari. Ogni creatura a sua scelta all'interno di una sfera con raggio di 9 metri, centrata su un punto entro gittata, effettua un tir..."
Level 1,FAVORE DI VINO,Paladino,"Tempo di lancio: azione bonus Gittata: incantatore Componenti: V, S Durata: 1 minuto Fino al termine dell'incantesimo, i suoi attacchi con le armi infliggono ld4 danni radiosi extra se il colpo va a segno. FERIRE"
Level 6,FERIRE,Chierico,"Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea L'incantatore scatena una malattia virulenta su una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Costituzione. Se lo fallisce, subisce 14d6 danni necrotici, e i suoi punti feri..."
Level 9,FERMARE IL TEMP O,"Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: istantanea L'incantatore interrompe brevemente lo scorrere nel tempo per tutti tranne che per se stesso. Per le altre crea­ ture il tempo non passa, mentre l'incantatore effettua ld4 + 1 turni consecutivamente, nel corso dei quali pu..."
Level 2,FIAMMA PERENNE,"Chierico, Druido, Mago","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (polvere di rubino del valore di 50 mo o più, che l'incantesimo consuma) Durata: finché non viene dissolto Una fiamma si sprigiona da un oggetto toccato dall'in­ cantatore. L'effetto proietta luce intensa in un raggio di 6 metri e luce fi..."
Cantrip,FIAMMA SACRA,Chierico,"Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea Un bagliore simile a una fiamma discende su una creatura entro gittata che l'incantatore è in grado di vedere. Il ber­ saglio deve superare un tiro salvezza su Destrezza, altri­ menti subisce ld8 danni radiosi. Per questo ..."
Cantrip,FIOT TO ACRNO,"Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea L'incantatore crea una bolla di acido in un punto entro gittata, dove la bolla esplode in una sfera del raggio di 1,5 metri. Ogni creatura all'interno della sfera deve supe­ rare un tiro salvezza su Destrezza, altrimenti s..."
Level 2,FOLATA DI VENTO,"Druido, Ranger, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un seme di legume) Durata: concentrazione, fino a 1 minuto Una linea di vento forte lunga 18 metri e ampia 3 metri viene indirizzata dall'incantatore in una direzione a sua scelta per la durata dell'incantesimo. Ogni creatura sulla li..."
Level 3,FONDERSI NELLA PIETRA,"Chierico, Druido, Ranger","Tempo di lancio: azione o rituale Gittata: contatto Componenti: V, S Durata: 8 ore L:incantatore entra in un oggetto o in una superficie di pietra sufficientemente grande da contenere il suo corpo, fondendosi con esso insieme al suo l'equipaggiamento per la durata dell'incantesimo. Per farlo, l'inca..."
Level 4,FONTE DI LUCE LUNARE,"Bardo, Druido","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a 10 minuti Per la durata dell'incantesimo, il corpo dell'incantatore è avvolto da una luce fredda che proietta luce intensa in un raggio di 6 metri e luce fioca per ulteriori 6 metri. Fino al termine dell'inc..."
Level 7,FORMA ETEREA,"Bardo, Chierico, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: fino a 8 ore L'incantatore mette piede nelle regioni di confine in cui il Piano Etereo si sovrappone al suo piano attuale. Rimane nel Confine Etereo per la durata dell'incantesimo. Durante questo periodo, l'incantatore può muovers..."
Level 3,FORMA GASSOSA,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un pezzo di garza) Durata: concentrazione, fino a l ora Una creatura consenziente, toccata dall'incantatore, muta forma, insieme a tutto ciò che indossa o trasporta, trasfor­ mandosi in una nube fosca per la durata dell'incantesimo. L'ef..."
Level 2,FRECCIA ACIDA DI MELF,Mago,"Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (foglia di rabarbaro in polvere) Durata: istantanea Una freccia verde scintillante sfreccia verso un bersaglio entro gittata ed esplode in uno spruzzo di acido. L'incanta­ tore effettua un attacco a distanza con incantesimo contro il bers..."
Level 3,FRECCIA FOLGORANTE,Ranger,"Tempo di lancio: azione bonus, che l'incantatore effettua subito dopo aver colpito o mancato un bersaglio con un attacco a distanza utilizzando un'arma Gittata: incantatore Componenti: V, S Durata: istantanea Quando l'attacco dell'incantatore colpisce o manca il bersaglio, l'arma o la munizione che ..."
Cantrip,FRUSTA DI SPINE,Druido,"Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (il gambo di una pianta spinata) Durata: istantanea L'incantatore crea una frusta simile a un rampicante e coperta di spine che, al suo comando, sferza fino a una creatura entro gittata, effettuando un attacco in mischia con incantesimo co..."
Level 3,FULMINE,"Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (un ciuffo di pelo e una verga di cristallo) Durata: istantanea Un fulmine parte dall'incantatore in una direzione a sua scelta, formando una linea lunga 30 metri e larga 1,5 metri. Ogni creatura sulla linea effettua un tiro salvezza s..."
Level 5,FUORVIARE,"Bardo, Mago, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: S Durata: concentrazione, fino a l ora L'incantatore diventa invisibile nello stesso momento in cui un suo sosia illusorio appare nel punto in cui si trova. Il sosia permane per la durata dell'incantesimo, ma l'invisibilità termina se non appe..."
Level 7,GABBIA DI FORZA,"Bardo, Mago, Warlock","Tempo di lancio: azione Gittata: 30 metri Componenti: V, S, M (polvere di rubino del valore di 1.500 mo o più, che l'incantesimo consuma) Durata: concentrazione, fino a l ora Una prigione cubica di forza magica invisibile e immobile si materializza intorno a un'area entro gittata scelta dall'incanta..."
Level 6,GIARA MAGICA,Mago,"Tempo di lancio: l minuto Gittata: incantatore Componenti: V, S, M (una gemma, un cristallo o un reliquiario del valore di 500 mo o più) Durata: finché non viene dissolto Il corpo dell'incantatore cade in uno stato catatonico e la sua anima lo abbandona entrando nel contenitore utilizzato come compo..."
Level 3,GLIFO DI INTERDIZIONE,"Bardo, Chierico, Mago","Tempo di lancio: l ora Gittata: contatto Componenti: V, S, M (polvere di diamante del valore di 200 mo o più, che l'incantesimo consuma) Durata: finché non viene dissolto o innescato L'incantatore traccia un glifo da cui, in seguito, si sprigio­ nerà un effetto magico. li glifo può essere tracciato ..."
Level 1,GLOBO CROMATICO,"Mago, Stregone","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S, M (un diamante del valore di 50 mo o più) Durata: istantanea L'incantatore scaglia un globo di energia contro un ber­ saglio entro gittata. Può scegliere che tipo di globo creare tra acido, freddo, fulmine, fuoco, tuono o veleno, e poi effe..."
Level 6,GLOBO DI INVULNERABILITÀ,"Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (una perla di vetro) Durata: concentrazione, fino a l minuto Una barriera scintillante e immobile si materializza in un'emanazione di 3 metri attorno all'incantatore e per­ mane per la durata dell'incantesimo. Qualsiasi incantesimo di ..."
Level 3,GUARDIANI SPIRITUALI,Chierico,"Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (una pergamena con una preghiera) Durata: concentrazione, fino a 10 minuti Degli spiriti protettori fluttuano attorno al personaggio in un'emanazione di 4,5 metri per la durata dell'incantesimo. Se l'incantatore è buono o neutrale, la ..."
Level 4,GUARDIANO DELLA FEDE,Chierico,"Tempo di lancio: azione Gittata: 9 metri Componenti: V Durata: 8 ore Per la durata dell'incantesimo, un guardiano spettrale di taglia Grande compare e fluttua in uno spazio libero entro gittata che l'incantatore è in grado di vedere. Il guardiano occupa quello spazio ed è invulnerabile: assume inolt..."
Level 6,GUARIGIONE,"Chierico, Druido","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea L'incantatore sceglie una creatura entro gittata che è in grado di vedere. Un flusso di energia positiva investe il bersaglio, facendogli recuperare 70 punti ferita. Inoltre, questo incantesimo termina le condizioni acceca..."
Level 9,GUARIGIONE DI MASSA,Chierico,"Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea Un'ondata di energia curativa si sprigiona dall'incan­ tatore, investendo le creature intorno a lui. In questo modo, ripristina fino a 700 punti ferita, ripartendoli come desidera tra un qualsiasi numero di creature entro ..."
Cantrip,GUIDA,"Chierico, Druido","Tempo di lancio: azione Gittata: contatto Componente: V, S Durata: concentrazione, fino a l minuto L'incantatore tocca una creatura consenziente e sceglie un'abilità. Fino al termine dell'incantesimo, la creatura aggiunge ld4 a qualsiasi prova di caratteristica effettuata utilizzando l'abilità scelt..."
Level 5,GUSCIO ANTI-VITA,Druido,"Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a 1 ora Un'aura si estende dall'incantatore in un'emanazione di 3 metri e permane per la durata dell'incantesimo, impedendo a tutte le creature che non siano non morti e costrutti di attraversarla o protenders..."
Level 1,IDENTIFICARE,"Bardo, Mago","Tempo di lancio: 1 minuto o rituale Gittata: contatto Componenti: V, S, M (una perla del valore di 100 mo o più) Durata: istantanea L'incantatore tocca un oggetto per la durata del lancio dell'incantesimo. Se si tratta di un oggetto magico o di S80 un altro oggetto infuso di magia, apprende le sue p..."
Cantrip,ILLUSIONE MINORE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 9 metri Componenti: S, M (un ciuffo di lana) Durata: 1 minuto L'incantatore crea un suono o un'immagine di un oggetto entro gittata che permane per la durata dell'incantesimo. Di seguito sono descritti gli effetti di ciascuno di essi. L'illusione termina se l'incanta..."
Level 6,ILLUSIONE PROGRAMMATA,"Bardo, Mago","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (polvere di giada del valore di 25 mo o più) Durata: finché non viene dissolto L'incantatore crea un'illusione di un oggetto, una creatura o qualche altro fenomeno visibile entro gittata che si attiva al verificarsi di un innesco specific..."
Level 3,IMMAGINE MAGGIORE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (un ciuffo di lana) Durata: concentrazione, fino a 1 0  minuti L'incantatore crea l'immagine di un oggetto, una creatura o qualche altro fenomeno visibile che non sia più grande di un cubo con spigolo di 6 metri. L'immagine, apparendo in ..."
Level 7,IMMAGINE PROIETTATA,"Bardo, Mago","Tempo di lancio: azione Gittata: 800 chilometri Componenti: V, S, M (una statuetta dell'incantatore del valore di S mo o più) Durata: concentrazione, fino a l giorno L'incantatore crea una copia illusoria di se stesso che permane per la durata dell'incantesimo. La copia può apparire in qualsiasi luo..."
Level 2,IMMAGINE SPECULARE,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: l minuto Tre duplicati illusori dell'incantatore appaiono nel suo spazio. Fino al termine dell'incantesimo, i duplicati si muo­ vono con l'incantatore e imitano le sue azioni, cambiando posizione in modo che sia impossibile indivi..."
Level 9,IMPRIGIONARE,"Mago, Warlock","Tempo di lancio: l minuto Gittata: 9 metri Componenti: V, S, M (una statuetta del bersaglio del valore di 5.000 mo o più) Durata: finché non viene dissolto L'incantatore crea una costrizione magica per trattenere una creatura entro gittata che è in grado di vedere. Il bersaglio deve effettuare un ti..."
Level 4,INARIDIRE,"Druido, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S Durata: istantanea Una creatura entro gittata che l'incantatore è in grado di vedere effettua un tiro salvezza su Costituzione, subendo 8d8 danni necrotici in caso di fallimento, o la metà dei danni in caso di successo. Una creatura vegetale ..."
Level 2,INDIVIDUAZIONE DEI PENSIERI,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S, M (1 pezzo di rame) Durata: concentrazione, fino a l minuto L'incantatore attiva uno dei seguenti effetti. Fino al termine dell'incantesimo, può attivare entrambi gli effetti come azione di Magia nei suoi turni successivi. Pensieri senso..."
Level 1,INFLIGGI FERITE,Chierico,"Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: istantanea Una creatura toccata dall'incantatore effettua un tiro salvezza su Costituzione, subendo 2d10 danni necrotici in caso di fallimento, o la metà dei danni in caso di successo. Utilizzo di uno slot incantesimo di livello supe..."
Level 2,INGRANDIRE/RIDURRE,"Bardo, Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (un pizzico di polvere di ferro) Durata: concentrazione, fino a 1 minuto Per la durata dell'incantesimo, l'incantatore ingrandisce o riduce una creatura o un oggetto entro gittata che è in grado di vedere (vedi di seguito l'effetto scelto)..."
Level 4,INTERDIZIONE ALLA MORTE,"Chierico, Paladino","Tempo di lancio: azione Gittata: contatto Componenti: V, S Durata: 8 ore L'incantatore tocca una creatura e le concede una misura di protezione dalla morte. La prima volta che il bersaglio scende a O punti ferita prima del termine dell'incantesimo, scende invece a 1 punto ferita e l'incantesimo term..."
Level 3,INTERMITTENZA,"Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: l minuto L'incantatore tira ld6 alla fine di ogni suo turno per la durata dell'incantesimo. Con un risultato di 4-6, l'incantatore svanisce dal piano di esistenza in cui si trova per riapparire sul Piano Etereo (l'incantesimo term..."
Level 1,INTRALCIARE,"Druido, Ranger","Tempo di lancio: azione Gittata: 27 metri Componenti: V, S Durata: concentrazione, fino a l minuto Dei vegetali afferranti spuntano dal terreno in un qua­ drato di 6 metri per lato in un punto situato entro gittata. Per la durata dell'incantesimo, i vegetali trasformano quell'area in un terreno diff..."
Level 7,INVERSIONE DELLA GRAVITÀ,"Druido, Mago, Stregone","Tempo di lancio: azione Gittata: 30 metri Componenti: V, S, M (una calamita e limatura di ferro) Durata: concentrazione, fino a l minuto Questo incantesimo inverte la gravità all'interno di un cilindro del raggio di 15 metri e dell'altezza di 30 metri centrato su un punto entro gittata. Tutte le cre..."
Level 3,INVIARE,"Bardo, Chierico, Mago","Tempo di lancio: azione Gittata: illimitata Componenti: V, S, M (un filo di rame) Durata: istantanea L'incantatore invia un breve messaggio di un massimo di 25 parole a una creatura che ha incontrato o a una creatura che gli è stata descritta da qualcuno che ha conosciuto. Il bersaglio sente il mess..."
Level 2,INVISIBILITÀ,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (un ciglio in uno strato di resina) Durata: concentrazione, fino a 1 ora Una creatura toccata dall'incantatore diventa invisibile fino al termine dell'incantesimo. L'incantesimo termina immediatamente quando il bersaglio effettua un tiro ..."
Level 3,INVOCARE IL FULMINE,Druido,"Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti Una nube di tempesta appare in un punto situato entro gittata che l'incantatore è in grado di vedere sopra di sé. Ha la forma di un cilindro alto 3 metri con un raggio di 18 metri. Quando lancia que..."
Level 8,LABIRINTO,Mago,"Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: concentrazione, fino a 1 0  minuti L'incantatore bandisce una creatura entro gittata che è in grado di vedere in un semipiano labirintico. Il bersa­ glio rimane laggiù per la durata dell'incantesimo o finché non fugge dal labirinto. ..."
Level 2,LAMA INFUOCATA,"Druido, Stregone","Tempo di lancio: azione bonus Gittata: incantatore Componenti: V, S, M (una foglia di sommacco) Durata: concentrazione, fino a 1 0  minuti L'incantatore evoca una lama infuocata nella sua mano libera. La lama ha forma e dimensioni simili a una scimi­ tarra e permane per la durata dell'incantesimo. S..."
Level 9,"LA DURATA AUMENTA CON UNO SLOT INCANTESIMO DI 6° LIVELLO (10 GIORNI), DI 7° LIVELLO (30 GIORNI), DI 8° LIVELLO (180 GIORNI)",366 Giorni,LEGAME TELEPATICO DI RARY
Level 5,LEGAME TELEPATICO DI RARY,"Bardo, Mago","Tempo di lancio: azione o rituale Gittata: 9 metri Componenti: V, S, M (due uova) Durata: 1 ora L'incantatore stringe un legame telepatico con un massimo di otto creature consenzienti a sua scelta entro gittata, collegando mentalmente ogni creatura a tutte le altre per la durata dell'incantesimo. Le..."
Level 3,LENTEZZA,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M (una goccia di melassa) Durata: concentrazione, fino a 1 minuto L'incantatore altera il tempo intorno a un massimo di sei creature a sua scelta all'interno in un cubo con spigolo di 12 metri entro gittata. Ogni bersaglio deve superare un ..."
Level 4,LIBERTÀ DI MOVIMENTO,"Bardo, Chierico, Druido, Ranger","Tempo di lancio: azione Gittata: contatto Componenti: V, S, M (una cinghia di cuoio) Durata: 1 ora L'incantatore tocca una creatura consenziente. Per la durata dell'incantesimo, il movimento del bersaglio non e altri effetti magici non possono né ridurne la velocità né trattenerlo o renderlo paraliz..."
Level 2,LOCALIZZA ANIMALI O VEGETALI,"Bardo, Druido, Ranger","Tempo di lancio: azione o rituale Gittata: i ncantatore Componenti: V, S, M (un ciuffo di peli di un segugio) Durata: istantanea L'incantatore descrive o nomina un tipo specifico di bestia o creatura vegetale, oppure un vegetale non magico. Apprende la direzione e la distanza fino alla creatura o al..."
Level 8,LOQUACITÀ,"Bardo, Warlock","Tempo di lancio: azione Gittata: incantatore Componenti: V Durata: 1 ora Fino al termine dell'incantesimo, quando l'incantatore effettua una prova di Carisma, può sostituire il risultato del tiro con un 15. Inoltre, a prescindere da ciò che dice, le magie in grado di determinare se un bersaglio stia..."
Cantrip,LUCE,"Bardo, Chierico, Mago, Stregone","Tempo di lancio: azione Gittata: contatto Componenti: V, M (una lucciola o del muschio fosforescente) Durata: 1 ora L'incantatore tocca un oggetto di taglia Grande o inferiore che non sia stato indossato o trasportato da altri. Fino al termine dell'incantesimo, l'oggetto proietta luce intensa entro ..."
Cantrip,LUCE SPLENDENTE,"Bardo, Druido","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S Durata: istantanea L'incantatore lancia un globo di luce contro una creatura o un oggetto entro gittata, effettuando un attacco a distanza con incantesimo contro il bersaglio. Se il colpo va a segno, il bersaglio subisce ld8 danni radiosi e,..."
Cantrip,LUCI DANZANTI,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S, M ((un frammento di fosforo) Durata: concentrazione, fino a 1 minuto L'incantatore crea fino a quattro luci delle dimensioni di una torcia, facendole apparire come lanterne, torce o globi luminosi che fluttuano per la durata dell'incan­ tes..."
Level 1,LUMINESCENZA,"Bardo, Druido","Tempo di lancio: azione Gittata: 18 metri Componenti: V Durata: concentrazione, fino a 1 minuto Gli oggetti contenuti i n  u n  cubo con spigolo d i  6 metri entro gittata vengono evidenziati da un alone di luce blu, verde o viola (a scelta dell'incantatore). Ogni creatura pre­ sente nel cubo viene ..."
Level 1,MANI BRUCIANTI,"Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: istantanea Un sottile velo di fiamme si propaga dall'incantatore. Ogni creatura entro un cono di 4,5 metri effettua un tiro salvezza su Destrezza, subendo 3d6 danni da fuoco in caso di fallimento, o la metà dei danni in caso di su..."
